1,4/6/2012,vs Minnesota Twins,2-Apr,W,Jan-00
2,4/7/2012,vs Minnesota Twins,2-Aug,W,Feb-00
3,4/8/2012,vs Minnesota Twins,1-Mar,W,Mar-00
4,4/9/2012,vs New York Yankees,6-Feb,L,1-Mar
5,4/10/2012,vs New York Yankees,5-Apr,L,2-Mar
6,4/11/2012,vs New York Yankees,6-Apr,L,3-Mar
7,4/13/2012,at Toronto Blue Jays,5-Jul,W,3-Apr
8,4/14/2012,at Toronto Blue Jays,4-Jun,W,3-May
9,4/15/2012,at Toronto Blue Jays,9-Feb,L,4-May
10,4/16/2012,at Chicago White Sox,4-Oct,W,4-Jun
11,4/17/2012,at Chicago White Sox,2-Mar,W,4-Jul
12,4/18/2012,at Chicago White Sox,8-Jan,L,5-Jul
13,4/19/2012,at Chicago White Sox,3-May,W,5-Aug
14,4/20/2012,at Los Angeles Angels,6-Mar,L,6-Aug
15,4/21/2012,at Los Angeles Angels,6-Mar,L,7-Aug
16,4/22/2012,at Los Angeles Angels,2-Mar,W,7-Sep
17,4/24/2012,vs Toronto Blue Jays,1-Feb,W,7-Oct
18,4/25/2012,vs Toronto Blue Jays,Mar-00,W,7-Nov
19,4/26/2012,vs Toronto Blue Jays,2-May,W,7-Dec
20,4/27/2012,vs Oakland Athletics,5-Feb,L,8-Dec
21,4/28/2012,vs Oakland Athletics,1-Oct,W,13-8
22,4/29/2012,vs Oakland Athletics,2-May,W,14-8
23,4/30/2012,at New York Yankees,2-Jan,L,14-9
24,5/1/2012,at New York Yankees,1-Jul,W,15-9
25,5/2/2012,at New York Yankees,May-00,W,16-9
26,5/4/2012,at Boston Red Sox,4-Jun,W,17-9
27,5/5/2012,at Boston Red Sox,2-Aug,W,18-9
28,5/6/2012,at Boston Red Sox,6-Sep,W,19-9
29,5/7/2012,vs Texas Rangers,14-Mar,L,19-10
30,5/8/2012,vs Texas Rangers,10-Mar,L,19-11
31-I,5/10/2012,vs Texas Rangers,5-Jun,W,20-11
32-II,5/10/2012,vs Texas Rangers,7-Mar,L,20-12
33,5/11/2012,vs Tampa Bay Rays,3-Apr,W,21-12
34,5/12/2012,vs Tampa Bay Rays,3-May,W,22-12
35,5/13/2012,vs Tampa Bay Rays,9-Aug,L,22-13
36,5/14/2012,vs New York Yankees,8-May,L,22-14
37,5/15/2012,vs New York Yankees,2-May,W,23-14
38,5/16/2012,at Kansas City Royals,3-Apr,W,24-14
39,5/17/2012,at Kansas City Royals,3-May,W,25-14
40,5/18/2012,at Washington Nationals,1-Feb,W,26-14
41,5/19/2012,at Washington Nationals,5-Jun,W,27-14
42,5/20/2012,at Washington Nationals,9-Mar,L,27-15
43,5/21/2012,vs Boston Red Sox,8-Jun,L,27-16
44,5/22/2012,vs Boston Red Sox,1-Apr,W,28-16
